epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.6127,2.76373,9.80675,2.12635,0.4809,0.45235,0.40206,0.237,2.94803,6.62035,2.29894,0.000664628,0.000664628,0.000664628
2,138.015,3.10336,5.35168,2.31826,0.57975,0.44161,0.41968,0.24096,3.3145,5.78889,2.45708,0.00132251,0.00132251,0.00132251
3,194.074,3.15485,3.87308,2.35881,0.50605,0.45235,0.38936,0.23142,3.1859,8.10032,2.41325,0.00197159,0.00197159,0.00197159
4,249.259,3.07338,3.37626,2.3054,0.63128,0.51544,0.56621,0.3457,2.86297,2.88873,2.1998,0.0019604,0.0019604,0.0019604
5,304.245,2.95929,3.12087,2.27278,0.71995,0.55901,0.61521,0.38892,2.76589,2.7722,2.19485,0.0019472,0.0019472,0.0019472
6,359.366,2.84241,2.80176,2.20468,0.72954,0.56779,0.63761,0.42218,2.59519,2.45879,2.11702,0.001934,0.001934,0.001934
7,414.497,2.77493,2.61549,2.17178,0.73339,0.60403,0.66599,0.4432,2.54883,2.31137,2.09767,0.0019208,0.0019208,0.0019208
8,469.65,2.7048,2.51936,2.14927,0.76832,0.641,0.68706,0.45366,2.48226,2.29579,2.06125,0.0019076,0.0019076,0.0019076
9,525.425,2.69464,2.40431,2.12436,0.75248,0.60805,0.667,0.44621,2.58549,2.41125,2.09661,0.0018944,0.0018944,0.0018944
10,580.29,2.66177,2.3613,2.10608,0.77922,0.63893,0.70762,0.46465,2.46168,2.09939,2.05005,0.0018812,0.0018812,0.0018812
11,635.313,2.61147,2.26071,2.10947,0.73167,0.64027,0.68717,0.47087,2.41881,2.15507,2.02244,0.001868,0.001868,0.001868
12,690.264,2.53572,2.27163,2.06596,0.83323,0.6371,0.72778,0.50421,2.34549,2.0059,1.97554,0.0018548,0.0018548,0.0018548
13,745.18,2.53877,2.09501,2.04883,0.79872,0.66582,0.7463,0.51246,2.33065,1.9004,1.97696,0.0018416,0.0018416,0.0018416
14,800.324,2.55766,2.1417,2.05912,0.83422,0.67785,0.76454,0.51679,2.37764,1.86149,2.02672,0.0018284,0.0018284,0.0018284
15,855.138,2.51898,2.08612,2.06827,0.79431,0.62819,0.72393,0.47639,2.31383,2.12323,1.98416,0.0018152,0.0018152,0.0018152
16,910.16,2.49165,2.06409,2.02208,0.79583,0.6953,0.75901,0.5192,2.3295,1.8121,1.98774,0.001802,0.001802,0.001802
17,965.529,2.54039,2.0458,2.01469,0.83772,0.68591,0.77016,0.5408,2.23944,1.75909,1.92906,0.0017888,0.0017888,0.0017888
18,1020.3,2.43708,1.99657,2.02231,0.82096,0.68188,0.77069,0.551,2.2731,1.84491,1.97444,0.0017756,0.0017756,0.0017756
19,1075.51,2.43582,1.95736,2.00549,0.81117,0.67465,0.76885,0.52061,2.34515,1.75676,1.98677,0.0017624,0.0017624,0.0017624
20,1130.73,2.44821,1.93285,2.0056,0.80683,0.62685,0.7474,0.52324,2.2951,1.89812,1.97059,0.0017492,0.0017492,0.0017492
21,1185.7,2.388,1.88899,2.00064,0.80554,0.68456,0.77053,0.53137,2.26388,1.77038,1.95999,0.001736,0.001736,0.001736
22,1240.68,2.36428,1.89391,1.98002,0.83568,0.6953,0.79158,0.54658,2.27073,1.67816,1.93629,0.0017228,0.0017228,0.0017228
23,1296.05,2.37622,1.84688,1.97341,0.81294,0.72917,0.80505,0.56308,2.25328,1.6041,1.9342,0.0017096,0.0017096,0.0017096
24,1350.82,2.37651,1.7649,1.97024,0.82155,0.70738,0.7793,0.5398,2.31248,1.73816,1.97382,0.0016964,0.0016964,0.0016964
25,1406.29,2.3522,1.78847,1.95669,0.86721,0.71003,0.81643,0.57177,2.20724,1.60114,1.9308,0.0016832,0.0016832,0.0016832
26,1457.1,2.36932,1.80327,1.97443,0.79695,0.70594,0.78107,0.55274,2.24734,1.6719,1.96433,0.00167,0.00167,0.00167
27,1506.85,2.33771,1.73812,1.95079,0.7957,0.74899,0.81256,0.55613,2.23123,1.56965,1.9149,0.0016568,0.0016568,0.0016568
28,1556.73,2.3378,1.69028,1.93976,0.80066,0.77315,0.82473,0.57284,2.16602,1.5379,1.90152,0.0016436,0.0016436,0.0016436
29,1606.65,2.27357,1.66177,1.94581,0.81663,0.76516,0.83459,0.5832,2.18376,1.50419,1.92955,0.0016304,0.0016304,0.0016304
30,1656.73,2.2553,1.66011,1.93479,0.84568,0.72752,0.82344,0.57375,2.16993,1.50752,1.91609,0.0016172,0.0016172,0.0016172
31,1706.72,2.31946,1.71882,1.95159,0.88059,0.71275,0.82285,0.58721,2.15214,1.47216,1.91283,0.001604,0.001604,0.001604
32,1756.67,2.31575,1.68004,1.94467,0.8475,0.75034,0.82084,0.58132,2.14672,1.50333,1.8886,0.0015908,0.0015908,0.0015908
33,1806.1,2.22959,1.60406,1.91812,0.86985,0.69976,0.82326,0.56283,2.18227,1.55252,1.90553,0.0015776,0.0015776,0.0015776
34,1856.06,2.25699,1.64094,1.94775,0.85487,0.73289,0.82491,0.59025,2.14206,1.47833,1.89383,0.0015644,0.0015644,0.0015644
35,1905.88,2.28877,1.67345,1.93319,0.86059,0.71812,0.81635,0.56277,2.24577,1.53766,1.93827,0.0015512,0.0015512,0.0015512
36,1955.89,2.30138,1.66587,1.93378,0.85992,0.73826,0.8232,0.58249,2.12091,1.48243,1.8974,0.001538,0.001538,0.001538
37,2005.78,2.20459,1.57553,1.92176,0.89405,0.74228,0.84019,0.5932,2.12604,1.43129,1.8921,0.0015248,0.0015248,0.0015248
38,2055.61,2.20934,1.58383,1.9151,0.86179,0.75327,0.84012,0.58469,2.18256,1.43743,1.91101,0.0015116,0.0015116,0.0015116
39,2105.43,2.22052,1.55612,1.91467,0.86786,0.77181,0.84978,0.60827,2.0803,1.3463,1.88506,0.0014984,0.0014984,0.0014984
40,2155.25,2.21247,1.56061,1.91206,0.87826,0.765,0.85021,0.59119,2.10008,1.38514,1.87442,0.0014852,0.0014852,0.0014852
41,2205.25,2.2002,1.54572,1.92271,0.86517,0.75795,0.83421,0.59702,2.10936,1.4688,1.88567,0.001472,0.001472,0.001472
42,2255.05,2.21673,1.55054,1.89184,0.89298,0.74765,0.85143,0.59747,2.08914,1.3756,1.88115,0.0014588,0.0014588,0.0014588
43,2304.81,2.19447,1.51039,1.90419,0.90176,0.75155,0.85033,0.6121,2.09954,1.37176,1.87047,0.0014456,0.0014456,0.0014456
44,2354.63,2.13954,1.53203,1.88654,0.83822,0.77894,0.85205,0.61177,2.06063,1.35036,1.87608,0.0014324,0.0014324,0.0014324
45,2404.81,2.17187,1.49346,1.90587,0.89396,0.75302,0.84023,0.58955,2.1328,1.47685,1.88088,0.0014192,0.0014192,0.0014192
46,2454.65,2.19623,1.5484,1.89713,0.89084,0.76242,0.84371,0.61184,2.07543,1.41516,1.86767,0.001406,0.001406,0.001406
47,2504.56,2.17142,1.47132,1.87794,0.86115,0.79918,0.86509,0.60658,2.12702,1.31897,1.88286,0.0013928,0.0013928,0.0013928
48,2554.41,2.13603,1.45567,1.88739,0.84687,0.77203,0.85285,0.61905,2.0409,1.32315,1.85373,0.0013796,0.0013796,0.0013796
49,2604.32,2.17209,1.51525,1.88621,0.8577,0.79463,0.85838,0.61398,2.07035,1.3257,1.85677,0.0013664,0.0013664,0.0013664
50,2654.12,2.10623,1.44544,1.8857,0.85932,0.78658,0.85589,0.6187,2.03593,1.35479,1.85021,0.0013532,0.0013532,0.0013532
51,2703.84,2.1055,1.40826,1.89321,0.8578,0.77987,0.8525,0.60477,2.0895,1.36277,1.88319,0.00134,0.00134,0.00134
52,2753.6,2.10442,1.4501,1.87324,0.88469,0.77718,0.86901,0.62749,2.06945,1.27645,1.86637,0.0013268,0.0013268,0.0013268
53,2803.74,2.14978,1.44015,1.8852,0.89884,0.73949,0.84287,0.61124,2.05236,1.33755,1.86111,0.0013136,0.0013136,0.0013136
54,2853.37,2.04897,1.38754,1.86706,0.89569,0.78792,0.869,0.62204,2.06579,1.27961,1.86636,0.0013004,0.0013004,0.0013004
55,2903.45,2.09258,1.39627,1.88001,0.89569,0.77224,0.85934,0.62145,2.0085,1.32921,1.86084,0.0012872,0.0012872,0.0012872
56,2953.37,2.06153,1.33332,1.88386,0.90553,0.77199,0.86727,0.62312,2.04544,1.2926,1.84948,0.001274,0.001274,0.001274
57,3003.27,2.08738,1.36735,1.8583,0.872,0.7906,0.86996,0.63083,2.01033,1.27047,1.84178,0.0012608,0.0012608,0.0012608
58,3052.88,2.08932,1.41495,1.8777,0.84474,0.82416,0.8717,0.64056,1.96482,1.25733,1.83778,0.0012476,0.0012476,0.0012476
59,3102.75,2.06543,1.34002,1.88787,0.91968,0.76843,0.86116,0.61996,2.06438,1.28432,1.87674,0.0012344,0.0012344,0.0012344
60,3152.56,2.09483,1.36287,1.85603,0.90926,0.80697,0.87698,0.63224,1.98579,1.21871,1.83551,0.0012212,0.0012212,0.0012212
61,3202.17,2.13069,1.39595,1.86993,0.92047,0.7923,0.88079,0.63161,2.04431,1.25275,1.85224,0.001208,0.001208,0.001208
62,3251.99,2.10686,1.34416,1.86013,0.88163,0.79732,0.87475,0.638,2.02022,1.2679,1.85593,0.0011948,0.0011948,0.0011948
63,3301.66,2.13448,1.34309,1.86489,0.8944,0.80718,0.88199,0.64124,1.99422,1.24713,1.84416,0.0011816,0.0011816,0.0011816
64,3351.51,2.04741,1.29589,1.86312,0.87985,0.80671,0.87686,0.6366,2.00422,1.1947,1.84512,0.0011684,0.0011684,0.0011684
