epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.095,1.44655,1.81108,1.29086,0.55985,0.30201,0.29814,0.15767,nan,nan,nan,0.000665392,0.000665392,0.000665392
2,232.342,1.70836,1.89796,1.50397,0.57348,0.39524,0.40921,0.24224,1.64171,2.14935,1.47982,0.00131887,0.00131887,0.00131887
3,338.902,1.65945,1.81943,1.49222,0.54469,0.37987,0.40791,0.26993,1.47477,2.13596,1.41655,0.00195915,0.00195915,0.00195915
4,445.624,1.5551,1.64933,1.42976,0.72976,0.49664,0.5729,0.33108,1.4398,1.44581,1.33127,0.0019406,0.0019406,0.0019406
5,553.423,1.47495,1.44524,1.38363,0.77561,0.51678,0.60299,0.37709,1.32771,1.49179,1.29453,0.0019208,0.0019208,0.0019208
6,659.379,1.45235,1.43738,1.33629,0.72602,0.53423,0.6018,0.38034,1.34459,1.29866,1.3084,0.001901,0.001901,0.001901
7,766.214,1.34449,1.33491,1.30375,0.797,0.57987,0.66664,0.43622,1.21563,1.15224,1.21598,0.0018812,0.0018812,0.0018812
8,877.186,1.30493,1.30054,1.28085,0.80289,0.59049,0.66765,0.45773,1.17825,1.14399,1.21148,0.0018614,0.0018614,0.0018614
9,982.821,1.26134,1.19064,1.25396,0.87182,0.64295,0.73148,0.49344,1.17666,1.01067,1.18918,0.0018416,0.0018416,0.0018416
10,1088.55,1.28847,1.23781,1.25668,0.86318,0.65235,0.7425,0.50013,1.12358,1.07393,1.1655,0.0018218,0.0018218,0.0018218
11,1194.45,1.22314,1.10419,1.23083,0.84691,0.65235,0.72617,0.49825,1.10913,1.09878,1.16932,0.001802,0.001802,0.001802
12,1300.13,1.21398,1.13282,1.20177,0.81361,0.60935,0.70135,0.49564,1.10238,0.99857,1.15372,0.0017822,0.0017822,0.0017822
13,1411.26,1.19326,1.07194,1.20869,0.86985,0.62795,0.71562,0.50642,1.05838,0.97063,1.12633,0.0017624,0.0017624,0.0017624
