epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.6691,1.19139,2.60278,1.0493,0.7502,0.55225,0.613,0.40862,1.23402,2.05348,1.07111,0.000664628,0.000664628,0.000664628
2,82.1625,1.32077,1.72243,1.11892,0.78555,0.54085,0.63316,0.4025,1.24225,1.46408,1.08402,0.00131811,0.00131811,0.00131811
3,117.566,1.31923,1.40967,1.13237,0.86364,0.53559,0.6193,0.39662,1.29867,1.37995,1.07522,0.0019584,0.0019584,0.0019584
4,153.277,1.29593,1.28899,1.10211,0.83304,0.60268,0.6828,0.4248,1.26328,1.23804,1.08017,0.0019406,0.0019406,0.0019406
5,188.655,1.24162,1.16012,1.0934,0.80447,0.59329,0.66815,0.44955,1.22406,1.23208,1.0742,0.0019208,0.0019208,0.0019208
6,224.244,1.19124,1.08089,1.05837,0.90628,0.64898,0.76724,0.50396,1.1469,0.99834,1.02275,0.001901,0.001901,0.001901
7,259.658,1.17364,1.03727,1.05543,0.84091,0.65982,0.75434,0.52098,1.08331,1.02536,1.00789,0.0018812,0.0018812,0.0018812
8,294.961,1.14263,0.95946,1.04153,0.90941,0.68188,0.77993,0.53913,1.05968,0.88106,0.99603,0.0018614,0.0018614,0.0018614
9,330.914,1.13397,0.95041,1.02607,0.87392,0.68993,0.77361,0.53591,1.07375,0.93395,0.98756,0.0018416,0.0018416,0.0018416
10,366.426,1.10826,0.93133,1.01238,0.86395,0.67517,0.78158,0.53787,1.05988,0.95715,0.98732,0.0018218,0.0018218,0.0018218
11,401.928,1.09754,0.89307,1.0212,0.84746,0.68188,0.78272,0.54909,1.0538,0.83736,0.98501,0.001802,0.001802,0.001802
12,437.736,1.06593,0.8701,1.00394,0.88101,0.72215,0.82103,0.57304,1.0306,0.77711,0.96775,0.0017822,0.0017822,0.0017822
13,473.139,1.06923,0.84096,0.99602,0.90389,0.73557,0.83675,0.58194,1.01905,0.77745,0.974,0.0017624,0.0017624,0.0017624
14,508.3,1.07665,0.83688,1.00758,0.88198,0.75235,0.84602,0.56948,1.03391,0.76295,0.97966,0.0017426,0.0017426,0.0017426
15,543.721,1.05229,0.82285,0.9962,0.89329,0.69663,0.80672,0.56361,1.00494,0.79513,0.96077,0.0017228,0.0017228,0.0017228
16,579.437,1.05124,0.80809,0.984,0.84455,0.71544,0.79722,0.54928,1.04297,0.80008,0.97164,0.001703,0.001703,0.001703
17,614.963,1.0564,0.80939,0.9821,0.90144,0.75973,0.85387,0.60192,0.99328,0.75051,0.96075,0.0016832,0.0016832,0.0016832
18,650.161,1.04325,0.80057,0.99798,0.89249,0.70872,0.83917,0.59087,1.00765,0.75174,0.96541,0.0016634,0.0016634,0.0016634
19,685.684,1.02185,0.77223,0.98255,0.85022,0.73691,0.82687,0.58269,0.99707,0.75741,0.95944,0.0016436,0.0016436,0.0016436
20,721.153,1.00674,0.73657,0.97037,0.92636,0.74362,0.83834,0.59258,1.00067,0.72195,0.95653,0.0016238,0.0016238,0.0016238
21,756.638,1.0081,0.73283,0.97866,0.85269,0.77699,0.84889,0.60382,0.97108,0.71514,0.95934,0.001604,0.001604,0.001604
22,791.975,1.00284,0.74585,0.97448,0.93993,0.75034,0.86097,0.61323,0.96622,0.69559,0.93949,0.0015842,0.0015842,0.0015842
23,827.24,0.97761,0.71953,0.95259,0.88603,0.77987,0.86136,0.62392,0.94589,0.68801,0.93281,0.0015644,0.0015644,0.0015644
24,862.393,0.9853,0.70847,0.96268,0.8981,0.78081,0.86288,0.62056,0.94089,0.6957,0.93724,0.0015446,0.0015446,0.0015446
25,897.946,0.98214,0.70882,0.95195,0.87845,0.78575,0.85512,0.61319,0.97442,0.69364,0.93934,0.0015248,0.0015248,0.0015248
26,933.549,0.98192,0.71321,0.96191,0.85542,0.78622,0.84739,0.59853,0.96351,0.69751,0.95095,0.001505,0.001505,0.001505
27,968.73,0.97117,0.68055,0.95452,0.90983,0.75705,0.86018,0.6144,0.98803,0.68636,0.95324,0.0014852,0.0014852,0.0014852
28,1004.1,0.96338,0.68432,0.95045,0.92906,0.79109,0.87455,0.62107,0.95338,0.64051,0.94245,0.0014654,0.0014654,0.0014654
29,1039.45,0.92785,0.65705,0.94694,0.92881,0.80563,0.88704,0.63787,0.92618,0.62466,0.92991,0.0014456,0.0014456,0.0014456
30,1074.87,0.92748,0.65391,0.93823,0.90441,0.81611,0.88367,0.63309,0.94071,0.655,0.93306,0.0014258,0.0014258,0.0014258
31,1110.26,0.95876,0.68371,0.95152,0.89861,0.80897,0.87787,0.63439,0.93304,0.63233,0.93921,0.001406,0.001406,0.001406
32,1145.83,0.94859,0.67802,0.94699,0.94701,0.79164,0.89269,0.63908,0.92852,0.63252,0.93083,0.0013862,0.0013862,0.0013862
33,1181.18,0.92726,0.63074,0.94006,0.91295,0.81879,0.89362,0.64197,0.92988,0.61474,0.92929,0.0013664,0.0013664,0.0013664
34,1216.68,0.92876,0.64354,0.95011,0.92438,0.79597,0.88615,0.64949,0.91801,0.61691,0.93382,0.0013466,0.0013466,0.0013466
35,1252.46,0.92762,0.66579,0.94211,0.90134,0.82685,0.89675,0.63755,0.94401,0.59081,0.93791,0.0013268,0.0013268,0.0013268
36,1287.88,0.96073,0.65662,0.95151,0.92191,0.79597,0.88876,0.62488,0.97048,0.65825,0.94659,0.001307,0.001307,0.001307
37,1323.48,0.89765,0.61983,0.93356,0.90787,0.82004,0.88851,0.64788,0.91986,0.60489,0.93011,0.0012872,0.0012872,0.0012872
38,1358.64,0.89598,0.61703,0.93105,0.92221,0.8116,0.89246,0.64771,0.91903,0.60032,0.92771,0.0012674,0.0012674,0.0012674
39,1394.25,0.91598,0.60576,0.93951,0.91787,0.7906,0.87306,0.63164,0.92805,0.64581,0.9431,0.0012476,0.0012476,0.0012476
40,1429.5,0.90276,0.60748,0.93079,0.92486,0.8,0.89477,0.64993,0.90637,0.56834,0.92606,0.0012278,0.0012278,0.0012278
41,1465.03,0.88842,0.59137,0.9297,0.92189,0.82381,0.89716,0.64965,0.92839,0.58122,0.92612,0.001208,0.001208,0.001208
42,1500.3,0.90479,0.59958,0.92174,0.9223,0.81254,0.88949,0.63804,0.94912,0.60818,0.9331,0.0011882,0.0011882,0.0011882
43,1535.91,0.90148,0.59572,0.9327,0.89554,0.8094,0.87821,0.64547,0.90737,0.59871,0.92095,0.0011684,0.0011684,0.0011684
44,1571.52,0.88503,0.59433,0.92371,0.94744,0.82258,0.90646,0.66437,0.90379,0.55773,0.91976,0.0011486,0.0011486,0.0011486
45,1606.81,0.88694,0.5831,0.93122,0.947,0.81545,0.90291,0.65229,0.91516,0.58688,0.92307,0.0011288,0.0011288,0.0011288
46,1642.34,0.89093,0.59497,0.91856,0.87877,0.82705,0.89533,0.6585,0.88296,0.58422,0.90468,0.001109,0.001109,0.001109
