epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.7825,1.47009,2.06516,1.27992,0.52167,0.36418,0.35634,0.19856,1.76081,2.21371,1.55056,0.000665505,0.000665505,0.000665505
2,161.328,1.68047,2.07617,1.44731,0.58226,0.45976,0.48273,0.25243,1.63139,1.9838,1.43142,0.0012992,0.0012992,0.0012992
3,237.51,1.68238,1.98722,1.45961,0.59668,0.41194,0.44479,0.29036,1.45575,2.03476,1.4106,0.0018999,0.0018999,0.0018999
4,313.856,1.54319,1.76376,1.38203,0.71095,0.46567,0.53506,0.34421,1.45975,1.60665,1.3942,0.0018515,0.0018515,0.0018515
5,392.03,1.55369,1.7644,1.35373,0.66712,0.52985,0.56764,0.34287,1.4487,1.60199,1.34766,0.001802,0.001802,0.001802
6,468.325,1.44968,1.59476,1.31785,0.76108,0.53726,0.63434,0.39988,1.33972,1.38111,1.28275,0.0017525,0.0017525,0.0017525
7,544.358,1.41864,1.62186,1.27108,0.76352,0.56866,0.62987,0.43985,nan,nan,nan,0.001703,0.001703,0.001703
8,620.482,1.34814,1.43227,1.24327,0.81902,0.59701,0.69472,0.44734,1.24933,1.17734,1.20317,0.0016535,0.0016535,0.0016535
9,697.747,1.30886,1.33038,1.22967,0.79564,0.62176,0.70642,0.47265,1.2468,1.14299,1.22248,0.001604,0.001604,0.001604
10,775.702,1.28377,1.30422,1.2373,0.83984,0.61831,0.72845,0.49818,1.17245,1.07035,1.17023,0.0015545,0.0015545,0.0015545
11,851.806,1.27801,1.28935,1.19695,0.79078,0.63582,0.69354,0.48341,1.13315,1.20964,1.14529,0.001505,0.001505,0.001505
12,927.652,1.27164,1.25277,1.16701,0.86048,0.65373,0.74226,0.51181,1.14592,1.06166,1.13196,0.0014555,0.0014555,0.0014555
13,1004,1.19698,1.14412,1.16291,0.86567,0.68955,0.78567,0.54483,1.08003,0.94636,1.10325,0.001406,0.001406,0.001406
14,1079.7,1.15332,1.1041,1.15145,0.86024,0.6798,0.74299,0.5284,1.09978,1.0923,1.13342,0.0013565,0.0013565,0.0013565
